,Name,Company,Country
173,BICI&CO,['Comunicare S.r.l.'],IT
174,B-cycle,"['BCycle, LLC']",US
175,Link,"['BCycle, LLC']",US
176,B-cycle,"['BCycle, LLC']",US
177,Metro Bike Share,"['Los Angeles County Metropolitan Transportation Authority (Metro)', 'Bicycle Transit Systems', 'BCycle, LLC']",US
178,Mountain Rides Bike Share,"['Mountain Rides', 'Social Bicycles Inc.']",US
179,Nice Ride,['Nice Ride Minnesota'],US
180,Speziainbici,['Comunicare S.r.l.'],IT
181,SWell Cycle,"['BCycle, LLC']",US
182,Share-a-Bull Bikes,['Social Bicycles Inc.'],US
183,Venezia,['Comunicare S.r.l.'],IT
184,SoBi,['Social Bicycles Inc.'],US
185,Spartanburg BCycle,"['BCycle, LLC']",US
186,Topeka Metro Bikes,"['Topeka Metropolitan Transit Authority', 'Social Bicycles Inc.']",US
187,[TO]BIKE,['Comunicare S.r.l.'],IT
188,UBike,['Social Bicycles Inc.'],US
189,Bay Wheels,"['Motivate International, Inc.']",US
190,Relay Bike Share,"['CycleHop, LLC', 'Social Bicycles Inc']",US
191,BikeRecife,"['Tembici', 'PBSC Urban Solutions']",BR
192,BikeSampa,"['Tembici', 'PBSC Urban Solutions']",BR
193,BikeRio,"['Tembici', 'PBSC Urban Solutions']",BR
194,BikeSalvador,"['Tembici', 'PBSC Urban Solutions']",BR
195,BikePOA,"['Tembici', 'PBSC Urban Solutions']",BR
196,MIBICI,"['BKT bici publica S.A. de C.V.', 'PBSC Urban Solutions']",MX
197,Just Eat Cycles,"['Your Bike', 'Urban Sharing']",UK
198,Melbourne Bike Share,"['PBSC', 'Alta Bicycle Share, Inc']",AU
199,Libélo,['PBSC Urban Solutions'],FR
200,BikeSantiago,"['Tembici', 'PBSC Urban Solutions']",CL
201,Bysykkel,,NO
202,Bysykkel,,NO
203,Bysykkel,,NO
204,LE vélo Star,"['Keolis', 'Rennes Metropole']",FR
205,V³,['Keolis Bordeaux Métropole'],FR
206,V'lille,['Keolis'],FR
207,IDECycle,"['Keolis', 'STAP']",FR
208,Bicialtea,['Labici Bicicletas Públicas SL'],ES
209,Bicidorm,['Labici Bicicletas Públicas SL'],ES
210,SaforBici,['Labici Bicicletas Públicas SL'],ES
211,Ciclopi,['Comunicare S.r.l.'],IT
212,Gbici,['Labici Bicicletas Públicas SL'],ES
213,MuyBici,['Labici Bicicletas Públicas SL'],ES
214,PonfeMobi,['Labici Bicicletas Públicas SL'],ES
215,VaiBike,['Labici Bicicletas Públicas SL'],ES
216,Cagliari,['Comunicare S.r.l.'],IT
